,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,z3,z3,z3,z3,z3,z3,z3,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eq_conflict,output_constraints,visited_nodes,total_constraints,eliminated_by_eq,eliminated_vars,input_constraints,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,trivial_true,contains_disjunction,output_constraints,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,eliminated_vars,visited_nodes,input_constraints,total_constraints,eq_conflict,only_qe_ms,answer,runtime,peak_memory_kbytes,output_constraints,contains_disjunction,trivial_false,trivial_true,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_5-prop-3_random5,success,66.724,794856,0.0,41171.0,317.0,305373.0,0.0,5.0,172.0,62827.0,success,102.598,1136764,41171.0,timeout,310.0,3593416,,,,,memout,305.0,3740100,,,,,,,,,timeout,310.0,84396,,,,,172,59,5,0.3067829457364341,0.1825581395348837,0.5212481426448737,0.56
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_6-prop-3_first5,timeout,310.0,639936,,,,,,,,,timeout,310.0,439604,,timeout,310.0,3929528,,,,,memout,305.0,3994496,,,,,,,,,timeout,310.0,54032,,,,,121,42,5,0.3200076878723813,0.628099173553719,0.5326991676575505,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_6-prop-3_last5,success,0.281,7640,0.0,136.0,5.0,80.0,0.0,5.0,121.0,177.0,success,2.147,11856,136.0,success,0.223,66004,0.0,0.0,1.0,580.0,success,15.126,438628,0.0,19769.0,5.0,0.0,121.0,0.0,0.0,13001.0,success,3.51,54144,298.0,1.0,0.0,0.0,121,42,5,0.3200076878723813,0.0380165289256198,0.5326991676575505,0.4
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_6-prop-3_random5,success,24.025,329068,0.0,21556.0,724.0,187337.0,0.0,5.0,121.0,22340.0,success,31.424,434600,21556.0,timeout,310.0,3067356,,,,,memout,305.0,105100,,,,,,,,,timeout,310.0,53740,,,,,121,42,5,0.3200076878723813,0.1735537190082644,0.5326991676575505,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_7-prop-3_first5,timeout,310.0,607784,,,,,,,,,timeout,310.0,663868,,timeout,310.0,3802512,,,,,memout,305.0,2134576,,,,,,,,,timeout,310.0,83808,,,,,106,37,5,0.3272095332671301,0.6226415094339622,0.5412490362374711,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_7-prop-3_last5,success,0.264,7544,0.0,131.0,25.0,263.0,0.0,5.0,106.0,139.0,success,1.462,9792,131.0,success,0.483,112968,0.0,0.0,1.0,2121.0,success,1.501,37860,0.0,2099.0,5.0,0.0,106.0,0.0,0.0,1276.0,timeout,310.0,85776,,,,,106,37,5,0.3272095332671301,0.0433962264150943,0.5412490362374711,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_7-prop-3_random5,timeout,310.0,1283448,,,,,,,,,timeout,310.0,220712,,timeout,310.0,3378664,,,,,memout,305.0,48788,,,,,,,,,timeout,310.0,54028,,,,,106,37,5,0.3272095332671301,0.3660377358490566,0.5412490362374711,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_8-prop-3_first5,timeout,310.0,683556,,,,,,,,,timeout,310.0,369132,,timeout,310.0,3536476,,,,,memout,305.0,818120,,,,,,,,,timeout,310.0,86756,,,,,88,31,5,0.3387784090909091,0.6136363636363636,0.5493895671476138,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_8-prop-3_last5,success,0.172,7244,0.0,101.0,16.0,153.0,0.0,5.0,88.0,78.0,success,1.307,7756,101.0,success,0.263,71936,0.0,0.0,1.0,830.0,success,0.978,31436,0.0,1971.0,5.0,0.0,88.0,0.0,0.0,822.0,timeout,310.0,55160,,,,,88,31,5,0.3387784090909091,0.0522727272727272,0.5493895671476138,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_8-prop-3_random5,success,238.641,2285604,0.0,214829.0,9781.0,3854730.0,0.0,5.0,88.0,228957.0,timeout,310.0,146664,,timeout,310.0,3247604,,,,,memout,305.0,140616,,,,,,,,,timeout,310.0,84928,,,,,88,31,5,0.3387784090909091,0.3840909090909091,0.5493895671476138,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_9-prop-3_first5,timeout,310.0,706036,,,,,,,,,timeout,310.0,322728,,timeout,310.0,3243524,,,,,memout,305.0,247636,,,,,,,,,timeout,310.0,86376,,,,,70,25,5,0.3516483516483517,0.6,0.5563258232235702,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_9-prop-3_last5,success,0.345,7228,0.0,117.0,11.0,203.0,0.0,5.0,70.0,53.0,success,0.478,6048,117.0,success,0.235,70088,0.0,0.0,1.0,975.0,memout,305.0,3994548,,,,,,,,,success,158.143,96400,950.0,1.0,0.0,0.0,70,25,5,0.3516483516483517,0.0828571428571428,0.5563258232235702,0.55
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-1_9-prop-3_random5,success,86.798,933748,0.0,106749.0,7123.0,1625692.0,0.0,5.0,70.0,82046.0,success,111.977,1271864,106750.0,timeout,310.0,3007712,,,,,memout,305.0,94104,,,,,,,,,timeout,310.0,55056,,,,,70,25,5,0.3516483516483517,0.3885714285714285,0.5563258232235702,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_1-prop-3_first5,timeout,310.0,1162056,,,,,,,,,timeout,310.0,922228,,invalid,240.975,3944912,,,,,memout,305.0,84892,,,,,,,,,timeout,310.0,142164,,,,,235,80,5,0.2926713947990543,0.6468085106382979,0.4783723165652034,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_1-prop-3_last5,success,1.536,8452,0.0,230.0,5.0,10.0,0.0,5.0,235.0,1201.0,success,16.564,35580,230.0,success,0.329,76200,0.0,0.0,0.0,230.0,success,1.488,8700,0.0,230.0,5.0,0.0,235.0,0.0,0.0,1176.0,success,4.842,78600,240.0,1.0,0.0,0.0,235,80,5,0.2926713947990543,0.0127659574468085,0.4783723165652034,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_1-prop-3_random5,timeout,310.0,1418116,,,,,,,,,timeout,310.0,526676,,invalid,227.839,3940948,,,,,memout,305.0,2871872,,,,,,,,,timeout,310.0,142756,,,,,235,80,5,0.2926713947990543,0.3702127659574468,0.4783723165652034,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_2-prop-3_first5,timeout,310.0,1053660,,,,,,,,,timeout,310.0,931292,,invalid,299.628,3941144,,,,,memout,305.0,70088,,,,,,,,,timeout,310.0,140032,,,,,220,75,5,0.2809808612440191,0.6454545454545455,0.4407522366258901,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_2-prop-3_last5,success,1.329,8012,0.0,215.0,5.0,10.0,0.0,5.0,220.0,912.0,success,12.811,31568,215.0,success,0.281,71776,0.0,0.0,0.0,215.0,success,1.164,8384,0.0,215.0,5.0,0.0,220.0,0.0,0.0,914.0,success,2.983,86224,225.0,1.0,0.0,0.0,220,75,5,0.2809808612440191,0.0136363636363636,0.4407522366258901,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_2-prop-3_random5,success,25.646,413348,0.0,24095.0,65.0,64390.0,0.0,5.0,220.0,23395.0,success,91.465,836896,24095.0,success,59.762,2955628,0.0,0.0,1.0,222095.0,memout,305.0,3994544,,,,,,,,,timeout,310.0,86736,,,,,220,75,5,0.2809808612440191,0.1463636363636363,0.4407522366258901,0.48
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-2_3-prop-3_first5,timeout,310.0,644352,,,,,,,,,timeout,310.0,823684,,timeout,310.0,3905144,,,,,memout,305.0,109880,,,,,,,,,timeout,310.0,143380,,,,,259,88,5,0.2801179992191228,0.6486486486486487,0.4430647291941876,0.7142857142857143
