,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,stats,stats,stats,stats,stats,stats,stats
,answer,runtime,peak_memory_kbytes,eliminated_by_eq,output_constraints,only_qe_ms,eq_conflict,eliminated_vars,input_constraints,total_constraints,visited_nodes,answer,runtime,peak_memory_kbytes,output_constraints,answer,runtime,peak_memory_kbytes,trivial_false,contains_disjunction,output_constraints,trivial_true,answer,runtime,peak_memory_kbytes,input_constraints,output_constraints,only_qe_ms,total_constraints,eq_conflict,visited_nodes,eliminated_by_eq,eliminated_vars,constraints,variables,eliminated-variables,matrix-density-overall,matrix-density-eliminated,graph-density-overall,graph-density-eliminated
12_variables/12_constraints/3_density_5,success,0.046,6628,0.0,5.0,0.0,0.0,6.0,12.0,19.0,5.0,success,0.135,3508,5.0,success,0.185,45344,0.0,1.0,12.0,0.0,success,0.025,6824,12.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.3205128205128205,0.2361111111111111,0.3770491803278688,0.3548387096774194
12_variables/12_constraints/3_density_6,success,0.024,6632,0.0,3.0,0.0,0.0,6.0,12.0,21.0,6.0,success,0.264,3620,3.0,success,0.244,43564,0.0,0.0,3.0,0.0,success,0.02,6808,12.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.3269230769230769,0.2916666666666667,0.4098360655737705,0.4838709677419355
12_variables/12_constraints/3_density_7,success,0.068,6624,0.0,1.0,0.0,0.0,6.0,12.0,26.0,6.0,success,0.104,3576,1.0,success,0.202,43336,0.0,0.0,1.0,0.0,success,0.036,6796,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.3333333333333333,0.3194444444444444,0.4180327868852459,0.5483870967741935
12_variables/12_constraints/3_density_8,success,0.02,6632,0.0,2.0,0.0,0.0,6.0,11.0,13.0,5.0,success,0.122,3584,3.0,success,0.177,43396,0.0,0.0,2.0,0.0,success,0.03,6808,11.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.3205128205128205,0.2361111111111111,0.4590163934426229,0.4838709677419355
12_variables/12_constraints/3_density_9,success,0.026,6704,0.0,17.0,3.0,0.0,6.0,12.0,116.0,13.0,success,0.099,3628,17.0,success,0.168,47496,0.0,1.0,36.0,0.0,success,0.026,7016,12.0,71.0,4.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.3525641025641026,0.3472222222222222,0.4508196721311475,0.5806451612903226
12_variables/12_constraints/5_density_0,success,0.042,6820,0.0,45.0,17.0,0.0,6.0,12.0,642.0,70.0,success,0.122,3732,45.0,success,0.194,58012,0.0,1.0,264.0,0.0,memout,305.0,379908,,,,,,,,,12,12,6,0.5064102564102564,0.4166666666666667,0.6065573770491803,0.6129032258064516
12_variables/12_constraints/5_density_1,success,0.03,6740,0.0,20.0,5.0,0.0,6.0,12.0,255.0,30.0,success,0.072,3628,20.0,success,0.193,55644,0.0,1.0,156.0,0.0,memout,305.0,1734012,,,,,,,,,12,12,6,0.5705128205128205,0.6111111111111112,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/5_density_2,success,0.033,6748,0.0,31.0,6.0,0.0,6.0,12.0,221.0,25.0,success,0.087,3644,31.0,success,0.275,53776,0.0,1.0,180.0,0.0,memout,305.0,3164796,,,,,,,,,12,12,6,0.5,0.4166666666666667,0.6065573770491803,0.6129032258064516
12_variables/12_constraints/5_density_3,success,0.063,6728,0.0,16.0,5.0,0.0,6.0,12.0,156.0,18.0,success,0.167,3500,16.0,success,0.18,51480,0.0,1.0,48.0,0.0,memout,305.0,3964616,,,,,,,,,12,12,6,0.5641025641025641,0.5416666666666666,0.5819672131147541,0.5806451612903226
12_variables/12_constraints/5_density_4,success,0.026,6668,0.0,1.0,1.0,0.0,6.0,12.0,23.0,6.0,success,0.12,3624,1.0,success,0.154,45620,0.0,0.0,1.0,0.0,memout,305.0,3994532,,,,,,,,,12,12,6,0.532051282051282,0.5416666666666666,0.6229508196721312,0.6774193548387096
12_variables/12_constraints/5_density_5,success,0.084,6652,0.0,1.0,0.0,0.0,6.0,12.0,10.0,5.0,success,0.162,3612,1.0,success,0.16,45460,0.0,0.0,1.0,1.0,success,0.035,6808,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.5576923076923077,0.5138888888888888,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/5_density_6,success,0.025,6652,0.0,1.0,0.0,0.0,6.0,12.0,24.0,6.0,success,0.291,3716,1.0,success,0.234,45340,0.0,1.0,24.0,0.0,success,0.025,6808,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.4935897435897436,0.3611111111111111,0.5819672131147541,0.5806451612903226
12_variables/12_constraints/5_density_7,success,0.035,6696,0.0,12.0,2.0,0.0,6.0,12.0,81.0,11.0,success,0.126,3568,12.0,success,0.217,47520,0.0,1.0,36.0,0.0,success,0.061,8340,12.0,413.0,34.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.4294871794871794,0.375,0.5901639344262295,0.6129032258064516
12_variables/12_constraints/5_density_8,success,0.024,6660,0.0,4.0,1.0,0.0,6.0,12.0,39.0,6.0,success,0.154,3640,4.0,success,0.164,49608,0.0,1.0,88.0,0.0,success,0.024,6816,12.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.5128205128205128,0.5,0.5901639344262295,0.6774193548387096
12_variables/12_constraints/5_density_9,success,0.023,6652,0.0,1.0,0.0,0.0,6.0,12.0,15.0,5.0,success,0.222,3604,1.0,success,0.157,47440,0.0,0.0,1.0,1.0,success,0.026,6840,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12,12,6,0.5384615384615384,0.4861111111111111,0.6147540983606558,0.6774193548387096
12_variables/12_constraints/7_density_0,success,0.067,6760,0.0,20.0,8.0,0.0,6.0,12.0,244.0,27.0,success,0.125,3520,20.0,success,0.193,57984,0.0,1.0,132.0,0.0,memout,305.0,441208,,,,,,,,,12,12,6,0.7435897435897436,0.7083333333333334,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_1,success,0.114,6720,0.0,1.0,2.0,0.0,6.0,12.0,50.0,7.0,success,0.134,3636,1.0,success,0.216,47532,0.0,0.0,1.0,1.0,memout,305.0,3994472,,,,,,,,,12,12,6,0.782051282051282,0.7777777777777778,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_2,success,0.041,6740,0.0,10.0,3.0,0.0,6.0,12.0,103.0,12.0,success,0.149,3604,10.0,success,0.22,49464,0.0,1.0,48.0,0.0,memout,305.0,73904,,,,,,,,,12,12,6,0.6666666666666666,0.6388888888888888,0.6311475409836066,0.6774193548387096
12_variables/12_constraints/7_density_3,success,0.055,6812,0.0,42.0,23.0,0.0,6.0,12.0,823.0,91.0,success,0.121,3576,42.0,success,0.269,65936,0.0,1.0,240.0,0.0,memout,305.0,448528,,,,,,,,,12,12,6,0.6666666666666666,0.6805555555555556,0.6311475409836066,0.6774193548387096
