,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
kissing/kissing_4_21.smt2,timeout,63018,39376,timeout,63015,39300,0.0,0.0,timeout,63018,39372,0.0,0.0,timeout,63019,128796,timeout,63117,2826064
kissing/kissing_2_3.smt2,sat,201,6284,sat,110,6180,0.0,0.0,sat,90,6256,0.0,0.0,timeout,63019,39844,sat,51,15708
kissing/kissing_4_16.smt2,timeout,63029,62508,timeout,63018,62420,0.0,0.0,timeout,63030,62492,0.0,0.0,timeout,63019,126420,timeout,63073,2700960
kissing/kissing_4_14.smt2,timeout,63060,37932,timeout,63019,37948,0.0,0.0,timeout,63022,38020,0.0,0.0,timeout,63018,125216,timeout,63102,2110416
kissing/kissing_3_5.smt2,timeout,63028,412776,timeout,63032,361308,0.0,0.0,timeout,63025,306428,0.0,0.0,timeout,63019,70600,sat,263,26180
kissing/kissing_4_7.smt2,timeout,63015,33984,timeout,63016,33796,0.0,0.0,timeout,63020,38244,0.0,0.0,timeout,63020,122864,sat,924,59660
kissing/kissing_3_9.smt2,timeout,63018,46976,timeout,63016,51496,0.0,0.0,timeout,63020,47500,0.0,0.0,timeout,63021,167880,timeout,63101,1820540
kissing/kissing_4_23.smt2,timeout,63017,42196,timeout,63018,42124,0.0,0.0,timeout,63023,42368,0.0,0.0,timeout,63016,130204,timeout,63118,2920124
kissing/kissing_3_3.smt2,timeout,63021,196644,timeout,63018,198352,0.0,0.0,timeout,63026,194692,0.0,0.0,timeout,63015,71508,sat,92,17728
kissing/kissing_4_18.smt2,timeout,63016,43728,timeout,63018,36116,0.0,0.0,timeout,63017,36800,0.0,0.0,timeout,63022,138564,timeout,63111,2586804
20211101-Geogebra/Triangle-Bottema1_4.smt2,timeout,63014,13516,sat,11523,8144,1.0,0.0,sat,13440,8344,1.0,0.0,sat,165,16308,timeout,63031,188564
20211101-Geogebra/IsoTriangle-Bottema8_1a.smt2,timeout,63014,72060,timeout,63019,62368,0.0,0.0,timeout,63016,60920,0.0,0.0,sat,284,16332,timeout,63031,119844
20211101-Geogebra/IsoTriangle-Bottema1_19a.smt2,sat,13352,14444,sat,34,5240,0.0,0.0,sat,29,5260,0.0,0.0,sat,44,16148,timeout,63018,69420
20211101-Geogebra/RightTriangle-Bottema8_1a.smt2,timeout,63014,30980,timeout,63017,31064,,,timeout,63015,46152,0.0,0.0,sat,4959,18424,timeout,63030,97144
20211101-Geogebra/RightTriangle-Bottema4_2a.smt2,sat,298,5956,sat,51,5464,0.0,1.0,sat,38,5368,0.0,1.0,sat,152,15972,timeout,63017,124016
20211101-Geogebra/Triangle-Bottema5_3.smt2,timeout,63017,79396,timeout,63016,79448,0.0,0.0,timeout,63017,79452,0.0,0.0,sat,242,16064,timeout,63019,152324
20211101-Geogebra/Triangle-SymmHomPoly_3-2-3.smt2,timeout,63014,18648,timeout,63016,18640,0.0,0.0,timeout,63014,12856,0.0,0.0,sat,159,16480,timeout,63020,118636
20211101-Geogebra/IsoTriangle-Bottema5_3b.smt2,timeout,63016,34372,sat,291,6008,1.0,0.0,sat,326,6024,1.0,0.0,sat,59,16224,timeout,63662,702144
20211101-Geogebra/Triangle-Bottema1_6.smt2,timeout,63018,47564,timeout,63020,433884,0.0,0.0,timeout,63022,433948,0.0,0.0,timeout,63016,153676,timeout,63021,180516
20211101-Geogebra/RegHeptagon-Diagonal_Side.smt2,timeout,63027,144512,timeout,63021,144300,0.0,0.0,timeout,63022,144556,0.0,0.0,timeout,63015,41108,timeout,63031,346864
20211101-Geogebra/IsoRightTriangle-Bottema1_14b.smt2,timeout,63021,41968,timeout,63017,42100,0.0,0.0,sat,14772,15956,0.0,0.0,sat,72,15968,timeout,63018,113916
20211101-Geogebra/IsoRightTriangle-Bottema1_14a.smt2,timeout,63014,45284,timeout,63013,37724,0.0,0.0,timeout,63015,37776,0.0,0.0,sat,50,15412,timeout,63048,100536
20211101-Geogebra/RightTriangle-Bottema11_20.smt2,sat,66,5304,sat,50,5264,0.0,1.0,sat,31,5200,0.0,1.0,sat,51,16268,timeout,63024,184288
20211101-Geogebra/IsoRightTriangle-Bottema1_3b.smt2,timeout,63020,54312,timeout,63015,54192,0.0,0.0,timeout,63014,54244,0.0,0.0,timeout,63013,33556,timeout,63026,137436
20211101-Geogebra/IsoRightTriangle-Bottema1_9b.smt2,timeout,63021,43084,timeout,63017,43036,0.0,0.0,timeout,63019,134184,0.0,0.0,sat,85,16308,timeout,63037,153656
20211101-Geogebra/Triangle-Bottema1_5.smt2,timeout,63019,32772,timeout,63016,32796,0.0,0.0,timeout,63019,32828,0.0,0.0,timeout,63020,22152,timeout,63019,173948
20211101-Geogebra/IsoRightTriangle-Bottema1_8a.smt2,timeout,63018,42680,timeout,63020,42444,0.0,0.0,sat,45,5388,0.0,0.0,sat,57,16216,timeout,63023,122532
20211101-Geogebra/IsoRightTriangle-Bottema1_1b.smt2,sat,44,5112,sat,31,5072,0.0,0.0,sat,29,5096,0.0,0.0,sat,44,15896,timeout,63023,108600
20211101-Geogebra/Triangle-Bottema1_2.smt2,timeout,63017,89520,timeout,63020,89376,0.0,0.0,timeout,63024,89328,0.0,0.0,sat,3094,17084,timeout,63028,200220
20211101-Geogebra/IsoTriangle-Bottema4_2a.smt2,timeout,63019,42296,sat,154,5812,0.0,1.0,sat,112,5792,0.0,1.0,sat,3055,17740,timeout,63021,125544
20211101-Geogebra/IsoRightTriangle-Bottema1_8b.smt2,timeout,63018,56284,timeout,63016,46248,0.0,0.0,timeout,63016,58680,0.0,0.0,sat,70,16376,timeout,63036,149908
20211101-Geogebra/IsoRightTriangle-Bottema1_12b.smt2,timeout,63038,29168,timeout,63015,29196,0.0,0.0,timeout,63015,29244,0.0,0.0,timeout,63015,36152,timeout,63022,154348
20211101-Geogebra/IsoRightTriangle-Bottema11_20b.smt2,sat,42,5292,sat,55,5248,0.0,0.0,sat,34,5304,0.0,0.0,sat,147,16316,timeout,63029,133016
