,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
nl_counters/fn-counters__instance_10_20.smt2,timeout,63019,40156,timeout,63014,40124,,,timeout,63023,40820,,,timeout,63025,142056,timeout,63090,2248628
nl_counters/fn-counters__instance_12_20.smt2,timeout,63016,56140,timeout,63014,56116,,,timeout,63016,56148,,,timeout,63023,129708,timeout,63094,1963944
nl_counters/fn-counters__instance_7_20.smt2,timeout,63016,22900,timeout,63016,22872,,,timeout,63015,22892,,,timeout,63021,85052,timeout,63170,2363224
nl_counters/fn-counters__instance_5_20.smt2,timeout,63105,3994640,memout,48228,3994640,,,memout,54242,3994704,,,timeout,63018,57560,timeout,63141,2122872
nl_counters/fn-counters__instance_10_35.smt2,timeout,63017,87312,timeout,63024,86400,,,timeout,63020,85844,,,timeout,63024,131824,timeout,63142,2003916
nl_counters/fn-counters__instance_7_15.smt2,timeout,63110,2817480,timeout,63117,2437916,0.0,0.0,timeout,63092,2813004,0.0,0.0,timeout,63025,63648,timeout,63115,2448240
nl_counters/fn-counters__instance_13_25.smt2,timeout,63023,91040,timeout,63015,91540,,,timeout,63014,91624,,,timeout,63038,123940,timeout,63100,2210564
nl_counters/fn-counters__instance_5_35.smt2,timeout,63018,25728,timeout,63022,25700,,,timeout,63014,25732,,,timeout,63021,108536,timeout,63123,2394768
nl_counters/fn-counters__instance_13_100.smt2,timeout,63044,850432,timeout,63029,876008,,,timeout,63049,869168,,,timeout,63029,430860,timeout,63107,2568320
nl_counters/fn-counters__instance_3_10.smt2,timeout,63041,341620,timeout,63042,341376,0.0,0.0,timeout,63029,342952,0.0,0.0,timeout,63017,30024,timeout,63034,666964
nl_counters/fn-counters__instance_4_20.smt2,timeout,63092,2997672,timeout,63162,2990492,0.0,0.0,timeout,63096,2997100,0.0,0.0,timeout,63022,49832,timeout,63226,2750820
nl_counters/fn-counters__instance_5_15.smt2,timeout,63082,2421212,timeout,63132,2512864,0.0,0.0,timeout,63075,2420452,,,timeout,63019,47204,timeout,63118,2961068
nl_counters/fn-counters__instance_6_10.smt2,timeout,63071,1341984,timeout,63059,1492944,0.0,0.0,timeout,63087,1341152,0.0,0.0,timeout,63018,45088,timeout,63222,2269472
nl_counters/fn-counters__instance_4_35.smt2,timeout,63244,3994240,timeout,63014,19296,,,timeout,63023,19328,,,timeout,63017,87388,timeout,63117,2563380
nl_counters/fn-counters__instance_8_10.smt2,timeout,63065,1810324,timeout,63080,1804560,0.0,0.0,timeout,63088,1807996,0.0,0.0,timeout,63025,68916,timeout,63202,2112552
nl_counters/fn-counters__instance_6_15.smt2,timeout,63076,2307380,timeout,63137,2574904,0.0,0.0,timeout,63113,2304656,0.0,0.0,timeout,63034,54004,timeout,63142,2162696
nl_counters/fn-counters__instance_2_15.smt2,timeout,63027,313848,timeout,63022,304172,0.0,0.0,timeout,63027,306404,0.0,0.0,timeout,63017,30808,timeout,63094,853196
nl_counters/fn-counters__instance_14_10.smt2,timeout,63032,31836,timeout,63018,31808,,,timeout,63015,31840,,,timeout,63022,108952,timeout,63108,2168916
nl_counters/fn-counters__instance_12_35.smt2,timeout,63022,126416,timeout,63023,126388,,,timeout,63016,126420,,,timeout,63023,149608,timeout,63093,2182340
nl_counters/fn-counters__instance_10_15.smt2,timeout,63017,28768,timeout,63013,28744,,,timeout,63013,28776,,,timeout,63019,94096,timeout,63197,2202788
nl_counters/fn-counters__instance_4_25.smt2,memout,51411,3994604,memout,38549,3994656,,,memout,37167,3994576,,,timeout,63024,61356,timeout,63127,2238524
nl_counters/fn-counters__instance_10_50.smt2,timeout,63019,148904,timeout,63020,148876,,,timeout,63021,148532,,,timeout,63026,182152,timeout,63087,2334952
nl_counters/fn-counters__instance_11_10.smt2,timeout,63020,21492,timeout,63014,21464,,,timeout,63017,21496,,,timeout,63019,72676,timeout,63099,2032312
nl_counters/fn-counters__instance_2_20.smt2,timeout,63033,607348,timeout,63031,601108,0.0,0.0,timeout,63037,606892,0.0,0.0,timeout,63018,32932,timeout,63105,1181252
nl_counters/fn-counters__instance_5_75.smt2,timeout,63020,68444,timeout,63018,68412,,,timeout,63026,68448,,,timeout,63023,148956,timeout,63123,2678448
nl_counters/fn-counters__instance_10_100.smt2,timeout,63051,481232,timeout,63031,480328,,,timeout,63039,479544,,,timeout,63028,360564,timeout,63114,2594872
nl_counters/fn-counters__instance_3_25.smt2,timeout,63091,2702324,timeout,63110,2698636,0.0,0.0,timeout,63106,2702240,0.0,0.0,timeout,63016,46384,timeout,63115,2054568
nl_counters/fn-counters__instance_10_75.smt2,timeout,63029,295472,timeout,63025,294032,,,timeout,63031,294808,,,timeout,63024,259824,timeout,63130,2576904
nl_counters/fn-counters__instance_3_20.smt2,timeout,63061,1465456,timeout,63055,1468388,0.0,0.0,timeout,63071,1472884,0.0,0.0,timeout,63017,46544,timeout,63174,1887536
