,CAlC-QE,CAlC-QE,CAlC-QE,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CAlC-Opt+,CDCL-OCAC,CDCL-OCAC,CDCL-OCAC,OptiMathSat,OptiMathSat,OptiMathSat
,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,smtrat-coveringng_minimization.unbounded,smtrat-coveringng_minimization.open,answer,runtime,peak_memory_kbytes,answer,runtime,peak_memory_kbytes
kissing/kissing_4_21.smt2,timeout,63018,46964,timeout,63025,39152,0.0,0.0,timeout,63015,47244,0.0,0.0,timeout,63014,128584,timeout,63171,2991892
kissing/kissing_2_3.smt2,sat,325,7296,sat,130,6260,0.0,0.0,sat,26,5204,0.0,0.0,timeout,63015,41356,timeout,63020,140588
kissing/kissing_4_16.smt2,timeout,63017,34660,timeout,63015,39964,0.0,0.0,timeout,63018,42056,0.0,0.0,timeout,63024,137956,timeout,63041,544356
kissing/kissing_4_14.smt2,timeout,63020,39592,timeout,63017,39504,0.0,0.0,timeout,63014,39720,0.0,0.0,timeout,63015,125328,timeout,63034,612200
kissing/kissing_3_5.smt2,timeout,63019,52420,timeout,63022,52376,0.0,0.0,timeout,63028,53372,0.0,0.0,timeout,63013,57180,sat,3088,130352
kissing/kissing_4_7.smt2,timeout,63015,38488,timeout,63019,36712,0.0,0.0,timeout,63020,32052,0.0,0.0,timeout,63013,39584,timeout,63067,1669224
kissing/kissing_3_9.smt2,timeout,63021,131140,timeout,63023,130744,0.0,0.0,timeout,63021,117216,0.0,0.0,timeout,63011,78740,timeout,63081,1951980
kissing/kissing_4_23.smt2,timeout,63020,46240,timeout,63017,42888,0.0,0.0,timeout,63016,50840,0.0,0.0,timeout,63016,130424,timeout,63113,2587068
kissing/kissing_3_3.smt2,timeout,63028,376664,timeout,63032,401664,0.0,0.0,timeout,63036,391440,0.0,0.0,timeout,63017,122284,sat,164,22660
kissing/kissing_4_18.smt2,timeout,63015,43796,timeout,63025,36428,0.0,0.0,timeout,63018,35280,0.0,0.0,timeout,63019,41240,timeout,63035,580736
20211101-Geogebra/Triangle-Bottema1_4.smt2,timeout,63197,13040,timeout,63016,13104,0.0,0.0,timeout,63014,13044,0.0,0.0,timeout,63018,50968,timeout,63020,175620
20211101-Geogebra/IsoTriangle-Bottema8_1a.smt2,timeout,63019,88312,timeout,63015,88272,0.0,0.0,timeout,63016,60896,0.0,0.0,sat,135,16596,timeout,63019,114248
20211101-Geogebra/IsoTriangle-Bottema1_19a.smt2,timeout,63020,13548,sat,54,5280,0.0,0.0,sat,30,5176,0.0,0.0,sat,52,15988,timeout,63026,138472
20211101-Geogebra/RightTriangle-Bottema8_1a.smt2,timeout,63016,82860,timeout,63017,82824,0.0,0.0,timeout,63016,46052,0.0,0.0,sat,1312,17144,timeout,63017,140784
20211101-Geogebra/RightTriangle-Bottema4_2a.smt2,timeout,63018,68120,timeout,63017,68076,0.0,0.0,timeout,63026,354784,0.0,0.0,timeout,63014,36372,timeout,63016,133932
20211101-Geogebra/Triangle-Bottema5_3.smt2,timeout,63015,32164,timeout,63017,31736,0.0,0.0,timeout,63016,51060,0.0,0.0,timeout,63020,27276,timeout,63018,141820
20211101-Geogebra/Triangle-SymmHomPoly_3-2-3.smt2,timeout,63021,49132,timeout,63018,48908,0.0,0.0,timeout,63015,23608,0.0,0.0,timeout,63017,112532,timeout,63024,283304
20211101-Geogebra/IsoTriangle-Bottema5_3b.smt2,timeout,63017,8520,timeout,63016,8512,0.0,0.0,timeout,63018,91032,0.0,0.0,timeout,63014,45604,timeout,63020,148208
